category,sub_category,title,description,price,image_url
Máy tính xách tay,Lenovo,Lenovo Ideapad Slim 3 15IAH8 i5 12450H (83ER000EVN),"Màn hình: 15.6"", Full HD/Full HD+ | CPU: i5, 12450H, 2GHz | Card: Intel UHD | Pin: 47 Wh | Khối lượng: 1.62 kg",13.890.000,https://cdn.tgdd.vn/Products/Images/44/313333/lenovo-ideapad-slim-3-15iah8-i5-83er00evn-thumb-600x600.jpg
Máy tính xách tay,Lenovo,Lenovo Ideapad 3 15IAU7 i3 1215U (82RK00RWVN),"Màn hình: 15.6"", Full HD/Full HD+ | CPU: i3, 1215U, 1.2GHz | Card: Intel UHD | Pin: 45Wh | Khối lượng: 1.63 kg",8.890.000,https://cdn.tgdd.vn/Products/Images/44/313615/lenovo-ideapad-3-15iau7-i3-82rk00rwvn-thumb-600x600.jpg
Máy tính xách tay,Lenovo,Lenovo LOQ Gaming 15IAX9 i5 12450HX (83GS000JVN),"Màn hình: 15.6"", Full HD/Full HD+, 144Hz | CPU: i5, 12450HX | Card: RTX 3050 6GB | Pin: 60 Wh | Khối lượng: 2.38 kg",21.490.000,https://cdn.tgdd.vn/Products/Images/44/322072/lenovo-loq-gaming-15iax9-i5-83gs000jvn-thumb-new-600x600.jpg
Máy tính xách tay,Lenovo,Lenovo Ideapad Gaming 3 15ACH6 R5 5500H (82K2027PVN),"Màn hình: 15.6"", Full HD/Full HD+, 144Hz | CPU: Ryzen 5, 5500H, 3.3GHz | Card: RTX 2050 4GB | Pin: 45Wh | Khối lượng: 2.25 kg",15.690.000,https://cdn.tgdd.vn/Products/Images/44/313667/lenovo-ideapad-gaming-3-15ach6-r5-82k2027pvn-600x600.png
Máy tính xách tay,Lenovo,Lenovo Ideapad 1 15ALC7 R7 5700U (82R400C1VN),"Màn hình: 15.6"", Full HD/Full HD+ | CPU: Ryzen 7, 5700U, 1.8GHz | Card: Radeon | Pin: 42 Wh | Khối lượng: 1.61 kg",12.090.000,https://cdn.tgdd.vn/Products/Images/44/313627/lenovo-ideapad-1-15alc7-r7-82r400c1vn-thumb-1-600x600.jpg
Máy tính xách tay,Lenovo,Lenovo IdeaPad 1 15AMN7 R5 7520U (82VG0061VN),"Màn hình: 15.6"", Full HD/Full HD+ | CPU: Ryzen 5, 7520U, 2.8GHz | Card: AMD Radeon 610M | Pin: 42 Wh | Khối lượng: 1.58 kg",9.590.000,https://cdn.tgdd.vn/Products/Images/44/303562/lenovo-ideapad-1-15amn7-r5-82vg0061vn-thumb-laptop-1-600x600.jpg
Máy tính xách tay,Lenovo,Lenovo Ideapad Slim 5 14IAH8 i5 12450H (83BF003WVN),"Màn hình: 14"", Full HD+ | CPU: i5, 12450H, 2GHz | Card: Intel UHD | Pin: 56.6Wh | Khối lượng: 1.46 kg",15.690.000,https://cdn.tgdd.vn/Products/Images/44/322082/lenovo-ideapad-5-14iah8-i5-83bf003wvn-thumb-600x600.jpg
Máy tính xách tay,Lenovo,Lenovo Ideapad 3 15IAU7 i3 1215U (82RK00QYVN),"Màn hình: 15.6"", Full HD/Full HD+ | CPU: i3, 1215U, 1.2GHz | Card: Intel UHD | Pin: 45Wh | Khối lượng: 1.63 kg",9.990.000,https://cdn.tgdd.vn/Products/Images/44/313616/lenovo-ideapad-3-15iau7-i3-82rk00qyvn-thumb-600x600.jpg
Máy tính xách tay,Lenovo,Lenovo Ideapad Slim 3 15IRH8 i7 13620H (83EM003FVN),"Màn hình: 15.6"", Full HD/Full HD+ | CPU: i7, 13620H, 2.4GHz | Card: Intel UHD | Pin: 47 Wh | Khối lượng: 1.62 kg",18.190.000,https://cdn.tgdd.vn/Products/Images/44/322073/lenovo-ideapad-slim-3-15irh8-i7-83em003fvn-thumb-600x600.jpg
Máy tính xách tay,Lenovo,Lenovo Ideapad 3 15IAU7 i7 1255U (82RK00X0VN),"Màn hình: 15.6"", Full HD/Full HD+ | CPU: i7, 1255U, 1.7GHz | Card: Intel Iris Xe | Pin: 45Wh | Khối lượng: 1.63 kg",16.090.000,https://cdn.tgdd.vn/Products/Images/44/313637/lenovo-ideapad-3-15iau7-i7-82rk00x0vn-thumb-600x600.jpg
Máy tính xách tay,Lenovo,Lenovo Ideapad Slim 3 15IAH8 i5 12450H (83ER000FVN),"Màn hình: 15.6"", Full HD/Full HD+ | CPU: i5, 12450H, 2GHz | Card: Intel UHD | Pin: 47 Wh | Khối lượng: 1.62 kg",14.690.000,https://cdn.tgdd.vn/Products/Images/44/313582/lenovo-ideapad-slim-3-15iah8-i5-83er000fvn-thumb-600x600.jpg
