category,sub_category,title,description,price,image_url
Đồng hồ thông minh,Xiaomi,Xiaomi Mi Band 8 Pro dây TPU,"Màn hình: AMOLED, 1.74 inch | Theo dõi sức khỏe: Đếm số bước chân, Đo nồng độ oxy (SpO2), Đo nhịp tim | Thông báo ứng dụng: Zalo, Tin nhắn, Messenger (Facebook)",1.590.000,https://cdn.tgdd.vn/Products/Images/7077/321816/mi-band-8-pro-den-tn2-1-600x600.jpg
Đồng hồ thông minh,Xiaomi,Xiaomi Watch 2 47.8mm dây silicone,"Màn hình: AMOLED, 1.43 inch | Theo dõi sức khỏe: Đếm số bước chân, Đo nồng độ oxy (SpO2), Đo nhịp tim | Thông báo ứng dụng: Zalo, Viber, Tin nhắn",4.490.000,https://cdn.tgdd.vn/Products/Images/7077/321818/xiaomi-watch-2-den-tn-1-600x600.jpg
Đồng hồ thông minh,Xiaomi,Xiaomi Watch S3 47mm dây silicone,"Màn hình: AMOLED, 1.43 inch | Theo dõi sức khỏe: Đếm số bước chân, Đo nồng độ oxy (SpO2), Đo nhịp tim | Thông báo ứng dụng: Zalo, Viber, Tin nhắn",3.390.000,https://cdn.tgdd.vn/Products/Images/7077/321817/xiaomi-watch-s-3-den-tn-600x600.jpg
Đồng hồ thông minh,Xiaomi,Xiaomi Redmi Watch 4 47.5mm dây silicone,"Màn hình: AMOLED, 1.97 inch | Theo dõi sức khỏe: Đếm số bước chân, Đo nồng độ oxy (SpO2), Đo nhịp tim | Thông báo ứng dụng: Zalo, Tin nhắn, Messenger (Facebook)",2.390.000,https://cdn.tgdd.vn/Products/Images/7077/320842/dong-ho-thong-minh-xiaomi-redmi-watch-4-47-5mm-day-silicone-090124-114101-1-600x600.jpg
Đồng hồ thông minh,Xiaomi,Xiaomi Mi Band 8 dây TPU,"Màn hình: AMOLED, 1.62 inch | Theo dõi sức khỏe: Đếm số bước chân, Đo nồng độ oxy (SpO2), Đo nhịp tim | Thông báo ứng dụng: Zalo, Viber, Tin nhắn",690.000,https://cdn.tgdd.vn/Products/Images/7077/315755/mi-band-8-thumb-trang-30-600x600.jpg
Đồng hồ thông minh,Xiaomi,Xiaomi Redmi Watch 3 42.6mm dây silicone,"Màn hình: AMOLED, 1.75 inch | Theo dõi sức khỏe: Đếm số bước chân, Đo nồng độ oxy (SpO2), Đo nhịp tim | Thông báo ứng dụng: Tin nhắn, Messenger (Facebook), Cuộc gọi",1.990.000,https://cdn.tgdd.vn/Products/Images/7077/304166/redmi-watch-3-trang-tn-1-600x600.jpg
Đồng hồ thông minh,Xiaomi,Xiaomi Mi Band 7 Pro dây TPU,"Màn hình: AMOLED, 1.64 inch | Theo dõi sức khỏe: Đếm số bước chân, Tính quãng đường chạy, Tính lượng calories tiêu thụ | Thông báo ứng dụng: Zalo, Tin nhắn, Messenger (Facebook)",1.090.000,https://cdn.tgdd.vn/Products/Images/7077/290757/mi-band-7-pro-trang-thumb-1-600x600.jpg
Đồng hồ thông minh,Xiaomi,Xiaomi Redmi Watch 3 Active 46mm dây silicone,"Màn hình: LCD, 1.83 inch | Theo dõi sức khỏe: Đếm số bước chân, Đo nồng độ oxy (SpO2), Theo dõi nhịp tim 24h | Thông báo ứng dụng: Zalo, Tin nhắn, Messenger (Facebook)",1.090.000,https://cdn.tgdd.vn/Products/Images/7077/311333/redmi-watch-3-active-thumb-den-10-600x600.jpg
Đồng hồ thông minh,Xiaomi,Xiaomi Watch 2 Pro 46 mm dây silicone,"Màn hình: AMOLED, 1.43 inch | Theo dõi sức khỏe: Đếm số bước chân, Đo độ mặn của xương, Đo tỷ lệ trao đổi chất cơ bản | Thông báo ứng dụng: Zalo, Viber, Tin nhắn",5.790.000,https://cdn.tgdd.vn/Products/Images/7077/316986/xiaomi-watch-2-pro-tn-1-600x600.jpg
Đồng hồ thông minh,Xiaomi,Xiaomi Mi Band 8 Active dây TPU,"Màn hình: TFT, 1.47 inch | Theo dõi sức khỏe: Đếm số bước chân, Đo nồng độ oxy (SpO2), Đo nhịp tim | Thông báo ứng dụng: Zalo, Tin nhắn, Messenger (Facebook)",550.000,https://cdn.tgdd.vn/Products/Images/7077/315745/mi-band-8-active-hong-tb-2-600x600.jpg
