category,sub_category,title,description,price,image_url
Máy tính bảng,Ipad,iPad 9 WiFi,"Chip Apple A13 Bionic | RAM 3 GB | Dung lượng 64 GB | Nghe gọi qua FaceTime | Pin 32.4 Wh (~ 8600 mAh),  Sạc 20 W",7.090.000,https://cdn.tgdd.vn/Products/Images/522/247517/iPad-9-wifi-trang-600x600.jpg
Máy tính bảng,Ipad,iPad Air 6 M2 11 inch WiFi,"Chip Apple M2 8 nhân | RAM 8 GB | Dung lượng 128 GB | Nghe gọi qua FaceTime | Pin 28.93 Wh,  Sạc 20 W",16.990.000,https://cdn.tgdd.vn/Products/Images/522/325501/ipad-air-11-inch-m2-wifi-grey-thumb-600x600.jpg
Máy tính bảng,Ipad,iPad Pro M4 11 inch WiFi,"Chip Apple M4 9 nhân | RAM 8 GB | Dung lượng 256 GB | Nghe gọi qua FaceTime | Pin 31.29 Wh,  Sạc 20 W",28.990.000,https://cdn.tgdd.vn/Products/Images/522/325513/ipad-pro-11-inch-m4-wifi-black-thumb-600x600.jpg
Máy tính bảng,Ipad,iPad Air 6 M2 13 inch WiFi,"Chip Apple M2 8 nhân | RAM 8 GB | Dung lượng 128 GB | Nghe gọi qua FaceTime | Pin 36.59 Wh,  Sạc 20 W",22.490.000,https://cdn.tgdd.vn/Products/Images/522/325506/ipad-air-13-inch-m2-wifi-purple-thumb-600x600.jpg
Máy tính bảng,Ipad,iPad Pro M4 13 inch WiFi,"Chip Apple M4 9 nhân | RAM 8 GB | Dung lượng 256 GB | Nghe gọi qua FaceTime | Pin 38.99 Wh,  Sạc 20 W",37.990.000,https://cdn.tgdd.vn/Products/Images/522/325517/ipad-pro-13-inch-m4-wifi-sliver-thumb-600x600.jpg
Máy tính bảng,Ipad,iPad 10 WiFi,"Chip Apple A14 Bionic | RAM 4 GB | Dung lượng 64 GB | Nghe gọi qua FaceTime | Pin 28.6 Wh (~ 7587 mAh),  Sạc 20 W",10.590.000,https://cdn.tgdd.vn/Products/Images/522/294103/iPad-Gen-10-sliver-thumb-600x600.jpg
Máy tính bảng,Ipad,iPad Air 5 M1 Wifi,"Chip Apple M1 | RAM 8 GB | Dung lượng 64 GB | Nghe gọi qua FaceTime | Pin 28.6 Wh (~ 7587 mAh),  Sạc 20 W",14.090.000,https://cdn.tgdd.vn/Products/Images/522/248096/ipad-air-5-wifi-pink-thumb-600x600.jpg
Máy tính bảng,Ipad,iPad Pro M4 13 inch Nano 5G,"Chip Apple M4 10 nhân | RAM 16 GB | Dung lượng 1 TB | 5G, Nghe gọi qua FaceTime | Pin 38.99 Wh,  Sạc 20 W",62.990.000,https://cdn.tgdd.vn/Products/Images/522/325663/ipad-pro-13-inch-m4-nano-lte-sliver-thumb-600x600.jpg
Máy tính bảng,Ipad,iPad Pro M4 13 inch Nano WiFi,"Chip Apple M4 10 nhân | RAM 16 GB | Dung lượng 1 TB | Nghe gọi qua FaceTime | Pin 38.99 Wh,  Sạc 20 W",57.490.000,https://cdn.tgdd.vn/Products/Images/522/325660/ipad-pro-13-inch-m4-nano-wifi-sliver-thumb-600x600.jpg
Máy tính bảng,Ipad,iPad Pro M4 11 inch Nano 5G,"Chip Apple M4 10 nhân | RAM 16 GB | Dung lượng 1 TB | 5G, Nghe gọi qua FaceTime | Pin 31.29 Wh,  Sạc 20 W",53.990.000,https://cdn.tgdd.vn/Products/Images/522/325658/ipad-pro-11-inch-m4-nano-lte-black-thumb-600x600.jpg
